ﬂ;≈Ÿ≈;0;12;17;2;23;9;15;18;20;19;20;24;23;15;1;33;33;23;12;14;3;29;19;3;16;20;19;13;17;21;15;11;24;25;21;18;25;10;5;7;8;22;19;3;14;0;22;35;15;21;25;13;10;26;24;18;19;9;27;5;19;0;14;16;10;14;0;27;22;22;23;12;14;28;20;21;23;18;17;0;3;9;19;23;38;10;13;20;0;13;18;9;16;41;18;13;20;13;14;8;0;
Õ¿√Œ–Õ€…;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;0;
ƒ›«‹;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ﬂ;—¿Ã;4;4;6;7;15;5;2;13;10;9;5;6;6;9;4;3;3;6;10;10;4;14;10;3;6;11;9;4;6;7;6;5;6;6;11;10;5;3;3;0;5;13;12;2;3;0;10;10;21;5;13;18;10;5;11;8;10;9;6;4;12;7;5;2;4;5;0;8;10;10;6;14;1;12;11;4;9;10;8;0;2;6;12;9;6;4;4;9;3;7;7;5;10;14;7;12;10;4;6;2;8;
ﬂ;¬–≈Ãﬂ;0;4;4;4;2;3;12;15;12;10;6;13;9;9;5;12;12;12;6;11;10;4;9;9;7;4;5;6;17;9;10;1;5;12;7;15;4;2;12;4;3;14;13;9;2;7;10;11;7;4;6;5;8;10;14;2;13;21;9;5;16;1;2;18;3;9;0;5;16;10;8;11;12;5;7;6;3;8;5;0;4;5;10;8;21;3;3;5;4;3;4;4;11;4;7;3;1;5;17;7;11;
◊≈—ÕŒ ;-1;-1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
ﬂ;Œƒ»Õ;4;11;17;11;25;10;15;15;11;18;29;17;15;20;7;25;25;29;15;24;23;25;15;8;7;22;20;8;17;15;15;9;16;17;19;18;17;16;11;6;19;14;18;1;5;16;8;19;19;14;24;19;12;26;9;15;21;21;14;12;9;10;10;32;5;22;0;29;22;19;20;16;14;22;11;18;8;21;5;0;7;13;20;20;35;10;18;24;11;16;13;6;20;35;24;25;15;14;19;14;22;
”ƒ¿ÀﬂﬁŸ»…—ﬂ;-1;-1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;1;2;0;1;0;0;0;0;0;0;1;1;0;0;0;
¡€“‹;ƒŒÀ∆Õ€…;3;0;0;1;2;0;0;0;0;1;1;0;0;0;0;1;1;2;1;0;1;0;0;1;0;0;0;1;1;2;0;1;1;1;0;0;2;2;3;0;4;1;0;0;0;0;0;1;0;1;0;0;0;2;1;0;1;0;0;0;1;1;0;3;0;2;0;0;0;3;0;0;1;1;0;1;0;0;0;0;0;0;1;1;2;1;1;1;0;0;0;1;3;0;1;2;1;0;1;0;0;
ﬂ;—¿Ã;3;3;13;6;11;2;5;17;2;5;3;7;9;4;6;5;5;9;10;6;6;11;5;9;9;13;5;7;3;7;8;5;4;10;8;14;12;3;2;5;3;7;11;0;5;1;4;11;12;12;9;13;5;8;15;6;7;12;5;8;11;5;2;4;8;1;0;7;10;11;10;9;5;6;6;5;12;5;5;0;2;3;3;7;7;3;2;13;2;9;3;2;8;16;10;6;7;8;7;5;6;
